,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,57482.39,-17.955717242424726,g,g,4830.0,4830.0,1.297699460157789e-16,-1.2579738368525017,1.2976994601577892e-17,0.1,19.2,-3.276058020944083,0.1,False
1,57479.35275000008,-20.992967242345912,g,g,4830.0,4830.0,1.2969130083938417e-17,-2.2582371144525,1.2969130083938417e-18,0.1,21.700658194,-5.7767162149440825,0.1,True
2,57479.38183999993,-20.963877242495073,g,g,4830.0,4830.0,1.6645232585225036e-17,-2.1498580928525026,1.6645232585225038e-18,0.1,21.42971064,-5.505768660944083,0.1,True
3,57479.410970000084,-20.934747242339654,g,g,4830.0,4830.0,2.2083197209551602e-17,-2.0270860099725017,2.2083197209551603e-18,0.1,21.1227804328,-5.198838453744083,0.1,True
4,57480.363510000054,-19.98220724237035,g,g,4238.428428571428,4238.428428571428,1.2208965518491338e-17,-2.2844690936525023,1.2208965518491339e-18,0.1,21.766238142,-5.842296162944082,0.1,True
5,57480.39272999996,-19.95298724246095,g,g,4238.428428571428,4238.428428571428,1.0461847231251633e-17,-2.3515395868525015,1.0461847231251633e-18,0.1,21.933914375,-6.009972395944084,0.1,True
6,57480.420859999955,-19.924857242469443,g,g,4238.428428571428,4238.428428571428,1.075434632262705e-17,-2.339563942852502,1.075434632262705e-18,0.1,21.903975265,-5.980033285944083,0.1,True
7,57481.36440999992,-18.981307242502226,g,g,4830.0,4830.0,1.6532976329813234e-17,-2.1527969168525,1.6532976329813234e-18,0.1,21.4370577,-5.513115720944084,0.1,True
8,57481.393070000224,-18.952647242200328,g,g,4830.0,4830.0,1.8513090525981537e-17,-2.1036690360524997,1.851309052598154e-18,0.1,21.314237998,-5.390296018944083,0.1,True
9,57482.35135000013,-17.994367242295993,g,g,4830.0,4830.0,1.2026580848648702e-16,-1.2910057856525015,1.2026580848648703e-17,0.1,19.282579872,-3.358637892944083,0.1,True
10,57482.38018999994,-17.965527242486132,g,g,4830.0,4830.0,1.1868700247657757e-16,-1.296744799252501,1.1868700247657757e-17,0.1,19.296927406,-3.3729854269440818,0.1,True
11,57482.40895000007,-17.936767242354108,g,g,4830.0,4830.0,1.2358236167109343e-16,-1.279191470452501,1.2358236167109344e-17,0.1,19.253044084,-3.3291021049440825,0.1,True
12,57482.903599999845,-17.442117242579116,g,g,4830.0,4830.0,1.5350423384044284e-16,-1.185027602452502,1.5350423384044283e-17,0.1,19.017634414,-3.0936924349440833,0.1,True
13,57482.90719999978,-17.438517242640955,g,g,4830.0,4830.0,1.5802303359603025e-16,-1.1724275660525034,1.5802303359603024e-17,0.1,18.986134323,-3.0621923439440852,0.1,True
14,57483.176990000065,-17.168727242358727,g,g,4830.0,4830.0,1.7426107658111783e-16,-1.1299475680525024,1.7426107658111784e-17,0.1,18.879934328,-2.9559923489440845,0.1,True
15,57483.351619999856,-16.994097242568387,g,g,4830.0,4830.0,1.9589306237508953e-16,-1.0791289052525013,1.9589306237508954e-17,0.1,18.752887671,-2.8289456919440834,0.1,True
16,57483.380390000064,-16.965327242360217,g,g,4830.0,4830.0,2.0562761861973997e-16,-1.0580665148525021,2.0562761861974e-17,0.1,18.700231695,-2.776289715944083,0.1,True
17,57483.4092600001,-16.93645724232192,g,g,4830.0,4830.0,2.227435076211403e-16,-1.023342906452502,2.227435076211403e-17,0.1,18.613422674,-2.6894806949440824,0.1,True
18,57483.438500000164,-16.90721724226023,g,g,4830.0,4830.0,2.1154383866071912e-16,-1.0457475800525025,2.1154383866071914e-17,0.1,18.669434358,-2.7454923789440837,0.1,True
19,57483.441300000064,-16.90441724236007,g,g,4830.0,4830.0,2.000969049688178e-16,-1.0699075896525017,2.0009690496881782e-17,0.1,18.729834382,-2.8058924029440835,0.1,True
20,57483.55640000012,-16.789317242306424,g,g,4830.0,4830.0,2.019855873643313e-16,-1.0658275792525025,2.019855873643313e-17,0.1,18.719634356,-2.795692376944084,0.1,True
21,57483.560000000056,-16.785717242368264,g,g,4830.0,4830.0,2.11057315329217e-16,-1.0467475512525013,2.11057315329217e-17,0.1,18.671934286,-2.7479923069440826,0.1,True
22,57483.67189999996,-16.673817242466612,g,g,4830.0,4830.0,2.3242368064847277e-16,-1.0048675864525034,2.3242368064847278e-17,0.1,18.567234374,-2.643292394944085,0.1,True
23,57484.235100000165,-16.11061724225874,g,g,4830.0,4830.0,2.631239547520911e-16,-0.9509875728525028,2.631239547520911e-17,0.1,18.43253434,-2.5085923609440837,0.1,True
