,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,57900.38516124999,-28.688491272630927,c,c,5330.0,5330.0,4.1554272868165156e-17,-0.9675078762863052,4.1554272868165156e-18,0.1,20.329445896058974,-2.6816261038505864,0.1,True
1,57904.286279,-24.787373522623966,c,c,5330.0,5330.0,1.4727114079763214e-16,-0.4180059125738662,1.4727114079763216e-17,0.1,18.955690986777878,-1.3078711945694899,0.1,True
2,58082.64997366667,153.5763211440426,c,c,5330.0,5330.0,1.6758862151786275e-16,-0.36187903482095685,1.6758862151786278e-17,0.1,18.815373792395604,-1.1675540001872164,0.1,True
3,58134.665390333335,205.5917378107115,c,c,5330.0,5330.0,4.0077421284835615e-17,-0.983223793755382,4.0077421284835615e-18,0.1,20.36873568973166,-2.7209158975232732,0.1,True
4,58162.616086,233.54243347737793,c,c,5330.0,5330.0,6.20089013884766e-17,-0.7936695265347531,6.200890138847661e-18,0.1,19.894850021680092,-2.2470302294717044,0.1,True
5,58226.466752,297.3930994773764,c,c,5330.0,5330.0,8.83842369599892e-17,-0.6397487466391318,8.83842369599892e-18,0.1,19.510048071941036,-1.8622282797326477,0.1,True
6,58252.46565225,323.39199972737697,c,c,4307.142857142858,4307.142857142858,4.529511295212269e-17,-0.9300722165632678,4.529511295212269e-18,0.1,20.23585674675138,-2.588036954542993,0.1,True
7,58253.25845933333,324.1848068107065,c,c,5330.0,5330.0,6.228076205477064e-17,-0.7917696456880314,6.228076205477064e-18,0.1,19.890100319563285,-2.2422805273548967,0.1,True
8,58254.4019135,325.32826097737416,c,c,5330.0,5330.0,4.4520936357426743e-17,-0.937559273782913,4.4520936357426745e-18,0.1,20.25457438980049,-2.6067545975921007,0.1,True
9,58286.340753749995,357.2671012273713,c,c,5330.0,5330.0,4.695024140254738e-17,-0.9144857339499559,4.695024140254738e-18,0.1,20.196890540218096,-2.549070748009708,0.1,True
10,58310.290551750004,381.21689922738005,c,c,5330.0,5330.0,4.52126895393934e-17,-0.9308632211449321,4.5212689539393405e-18,0.1,20.23783425820554,-2.590014465997154,0.1,True
11,58462.666917,533.5932644773784,c,c,5330.0,5330.0,2.867911689217042e-16,-0.12855778945970187,2.8679116892170424e-17,0.1,18.232070678992464,-0.5842508867840763,0.1,True
12,58486.6214035,557.5477509773773,c,c,5330.0,5330.0,3.377654495176564e-17,-1.057508340615808,3.377654495176564e-18,0.1,20.554447056882726,-2.906627264674338,0.1,True
13,58494.5822235,565.5085709773775,c,c,5330.0,5330.0,3.145444307856674e-17,-1.0884415634338112,3.145444307856674e-18,0.1,20.63178011392774,-2.9839603217193513,0.1,True
