,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,59134.227013899945,-0.5942127311500371,g,g,4492.06341445,4492.06341445,8.667938820680199e-17,-0.005521909887463039,5.6956623818067365e-18,0.06570953602277249,19.638145716526225,-0.013804774718657598,0.06570953602277249,False
1,59134.227939799894,-0.5932868312011124,g,g,4492.06341445,4492.06341445,8.383874825248876e-17,-0.01999296175498344,6.251128547893144e-18,0.07456132967380723,19.674323346195028,-0.04998240438746038,0.07456132967380723,False
2,59136.21276619984,1.3915395687436103,g,g,4492.06341445,4492.06341445,1.0538126824340904e-16,0.07932567367412702,6.016357602440033e-18,0.05709133798374381,19.426026757622246,0.1983141841853211,0.05709133798374381,False
3,59136.213703699876,1.3924770687808632,g,g,4492.06341445,4492.06341445,1.0279060283462463e-16,0.0685156658225754,5.340275320633362e-18,0.051952952637364144,19.453051777251126,0.17128916455644116,0.051952952637364144,False
4,59137.24549769983,2.424271068732196,g,g,6005.139,6005.139,6.879682005978733e-17,-0.10586938259106304,8.310530571995944e-18,0.12079817882241857,19.889014398285223,-0.26467345647765583,0.12079817882241857,False
5,59137.24596060021,2.4247339691137313,g,g,6005.139,6005.139,6.495215355869118e-17,-0.1308441920954948,7.834554355448648e-18,0.12062039403157425,19.951451422046304,-0.327110480238737,0.12062039403157425,False
6,59138.19379629986,3.372569668768847,g,g,4492.06341445,4492.06341445,6.449860982334721e-17,-0.13388739311459474,5.937284414610768e-18,0.092052905184657,19.95905942459405,-0.33471848278648153,0.092052905184657,False
7,59138.1947337999,3.3735071688061,g,g,4492.06341445,4492.06341445,6.154377261182035e-17,-0.1542536324172481,6.744714361525669e-18,0.10959215003063123,20.009975022850686,-0.38563408104311847,0.10959215003063123,False
8,59139.192187500186,4.370960869091505,g,g,6005.139,6005.139,6.018992271211458e-17,-0.16391396158313043,5.62000567295017e-18,0.09337120600453964,20.03412584576539,-0.4097849039578243,0.09337120600453964,False
9,59139.22601850005,4.404791868953907,g,g,6005.139,6005.139,3.959176753465033e-17,-0.3458328564196691,5.698694736554523e-18,0.1439363557478731,20.488923082856743,-0.8645821410491763,0.1439363557478731,False
10,59139.22649310017,4.405266469075286,g,g,6005.139,6005.139,3.274277301189726e-17,-0.42832228986110366,5.7429611556595445e-18,0.1753962974844192,20.695146666460328,-1.070805724652761,0.1753962974844192,False
11,59140.16964119999,5.348414568892622,g,g,4492.06341445,4492.06341445,3.3291725003690875e-17,-0.42110144862870413,4.761848902148247e-18,0.14303400925065693,20.677094563379327,-1.0527536215717603,0.14303400925065693,False
12,59140.1785300998,5.357303468706959,g,g,4492.06341445,4492.06341445,3.911799110767145e-17,-0.3510612036156253,4.745025321958647e-18,0.12130033234319382,20.50199395084663,-0.8776530090390615,0.12130033234319382,False
13,59143.20598379988,8.384757168787473,g,g,4492.06341445,4492.06341445,1.863770086197963e-17,-0.6730454102861891,5.035672765497977e-18,0.27018744440579595,21.30695446752304,-1.682613525715471,0.27018744440579595,False
14,58263.48023150023,-871.340995130864,g,g,6005.139,6005.139,6.207425160264907e-17,-0.15052625505233763,6.207425160264907e-18,0.1,20.00065657943841,-0.3763156376308423,0.1,True
15,58267.48226850014,-867.338958130953,g,g,4492.06341445,4492.06341445,1.131718111042913e-16,0.1103005187733146,1.131718111042913e-17,0.1,19.348589644874277,0.27575129693329004,0.1,True
16,58270.46319440007,-864.3580322310227,g,g,4492.06341445,4492.06341445,9.304532463489243e-17,0.02525680823046983,9.304532463489244e-18,0.1,19.56119892123139,0.06314202057617635,0.1,True
17,58279.46027779998,-855.3609488311122,g,g,4492.06341445,4492.06341445,3.089015003013966e-17,-0.4536177296169157,3.0890150030139662e-18,0.1,20.758385265849853,-1.1340443240422857,0.1,True
18,58282.43687500013,-852.3843516309644,g,g,4492.06341445,4492.06341445,3.071699653699647e-17,-0.45605899848908393,3.0716996536996468e-18,0.1,20.764488438030273,-1.1401474962227063,0.1,True
